#,Title,Artist,Album,Length,BPM,Genre,Label,Composer,Remixer,Year,File name
1,"(Don't Fear) The Reaper","HIM","Greatest Lovesongs Vol. 666",384,104,"Rock","","","",1997,"/Volumes/Sammy/iTunes/iTunes Music/Music/HIM/Greatest Lovesongs Vol. 666/09 (Don't Fear) The Reaper.mp3"
2,"1000 Ways","Waldo's People","No-Man's-Land",205,140,"Euro-House","","","",2000,"/Volumes/Sammy/iTunes/iTunes Music/Music/Waldo's People/No-Man's-Land/03 1000 Ways.mp3"
3,"Kavinsky, Cautious Clay, Oliver - Renegade - Oliver Remix","","",218,0,"","","","",0,"/Volumes/Sammy/Engine Library/Cloud/Dropbox/3b79e40cb476152a6e39bcc1a396a20dce0bfb91.mp3.temp#history#14ac757c-97a0-4d36-be29-08d203c54e88.temp"
4,"Kavinsky, Cautious Clay, Oliver - Renegade - Oliver Remix","","",218,0,"","","","",0,"/Volumes/Sammy/Engine Library/Cloud/Dropbox/3b79e40cb476152a6e39bcc1a396a20dce0bfb91.mp3.temp#history#14ac757c-97a0-4d36-be29-08d203c54e88.temp"
5,"Mira - Paha","","",237,0,"","","","",0,"/Volumes/Sammy/Engine Library/Cloud/Dropbox/7f546482d210fefce0bc993782417316c125e1b9.mp3.temp#history#1930c847-489f-425b-a91f-4edaccdd951d.temp"
6,"Apulanta - Aggressio","","",217,0,"","","","",0,"/Volumes/Sammy/Engine Library/Cloud/Dropbox/d2f0f6ebdc4ed72c51a6d50834459a6852734f0f.mp3.temp#history#916eed8a-162a-459c-87e2-53499cbc7b87.temp"
7,"Aksuli - Suuret Tunteet","","",200,0,"","","","",0,"/Volumes/Sammy/Engine Library/Cloud/Dropbox/a2ea6afccbc62cc693837a62cbe42e090eee993e.mp3.temp#history#ce39031b-65be-4059-8574-c8e3bcfba5d0.temp"
8,"Reivix, Gia - AURINGONNOUSUHUMALA","","",178,0,"","","","",0,"/Volumes/Sammy/Engine Library/Cloud/Dropbox/f092fcc368d4fb9ab09439a11f477cd1e860bacb.mp3.temp#history#9d42d229-a644-4f6d-8d31-c27f6262a9ae.temp"
9,"Moskito Is A Dancer (oxyRTRD Mashup)","Kenny Takito vs Max Deejay","oxyRTRD Mashups vol. 2",249,140,"","","","",2021,"/Volumes/Sammy/Engine Library/Music/Kenny Takito vs Max Deejay/oxyRTRD Mashups vol_ 2/oxy - Kenny Takito vs Max Deejay - Moskito Is A Dancer.mp3"
10,"X-Files Theme Remix (Long Happy)","DJ Dado","X-Files Theme Remix",254,143,"Dance","","","",0,"/Volumes/Sammy/iTunes/iTunes Music/Music/DJ Dado/X-Files Theme Remix/02 X-Files Theme Remix (Long Happy).m4a"
11,"Fight For Your Right (To Party)","N.Y.C.C.","Super Dance Hits 90's",201,134,"Dance","","","",1999,"/Volumes/Sammy/iTunes/iTunes Music/Music/N.Y.C.C_/Super Dance Hits 90's/3-17 Fight For Your Right (To Party).mp3"
12,"Tosi Hyvin","Dj02","",218,145,"","","","",2015,"/Volumes/Sammy/iTunes/iTunes Music/Music/Unknown Artist/Unknown Album/Tosi_Hyvin.mp3"
13,"The Hunter","Melody Club","Human Harbour",188,0,"","","","",2012,"/Volumes/Sammy/iTunes/iTunes Music/Music/Melody Club/Human Harbour/The Hunter 1.mp3"
14,"I Still Haven't Found What I'm Looking For","Pomplamoose,KT Tunstall","I Still Haven't Found What I'm Looking For",321,0,"","","","",2020,"/Volumes/Sammy/iTunes/iTunes Music/Music/Pomplamoose,KT Tunstall/I Still Haven't Found What I'm Looking For/I Still Haven't Found What I'm Looking For.mp3"
15,"Watching - Waiting","Killer","Sure You Know How To Drive This Thing",245,0,"","","","",2003,"/Volumes/Sammy/iTunes/iTunes Music/Music/Killer/Sure You Know How To Drive This Thing/Watching - Waiting.mp3"
16,"New Cydonia (Alternate Version)","Starcadian","Deep Cuts",261,0,"","","","",2019,"/Volumes/Sammy/iTunes/iTunes Music/Music/Starcadian/Deep Cuts/New Cydonia (Alternate Version).mp3"
17,"Push the Feeling on (Mk Club Revisted Edit)","Nightcrawlers","Club Sounds 90's Dance Classics",242,123,"Club","","","",1999,"/Volumes/Sammy/iTunes/iTunes Music/Music/Compilations/Club Sounds 90's Dance Classics/07 Push the Feeling on (Mk Club Revisted Edit).mp3"
18,"Ryyppy (Hevoshullu Remix) (Bonus)","Stig","Puumaa Mä Metsästän",165,125,"Pop-Folk","","","",2012,"/Volumes/Sammy/Engine Library/Music/Stig/Puumaa Mä Metsästän/13 Ryyppy (Hevoshullu Remix) (Bonus).mp3"
19,"She's So High","Tal Bachman","Tal Bachman",226,124,"Pop","Sbme Special MKTS.","","",1999,"/Volumes/Sammy/iTunes/iTunes Music/Music/Tal Bachman/Tal Bachman/02 She's So High.mp3"
20,"Too Many Nights","DJ Bobo","There is a Party",265,132,"Euro-House","","","",1994,"/Volumes/Sammy/iTunes/iTunes Music/Music/DJ Bobo/There is a Party/13 Too Many Nights.mp3"
21,"Feel So Close (Extended Mix)","Calvin Harris","Feel So Close EP",330,128,"House","","","",2011,"/Volumes/Sammy/iTunes/iTunes Music/Music/Calvin Harris/Feel So Close EP/03 Feel So Close (Extended Mix).mp3"
22,"This Is The Way","E-Type","Super Dance Hits 90's",234,141,"Other","","","",1999,"/Volumes/Sammy/iTunes/iTunes Music/Music/E-Type/Super Dance Hits 90's/5-10 This Is The Way.mp3"
23,"No More (I Can't Stand It)","Maxx","To the Maxximum",282,138,"Euro-House","","","",1994,"/Volumes/Sammy/iTunes/iTunes Music/Music/Maxx/To the Maxximum/03 No More (I Can't Stand It).mp3"
24,"Tytöt Tahtoo Pitää Hauskaa","101","Aamuyö",247,140,"Pop","","","",1995,"/Volumes/Sammy/iTunes/iTunes Music/Music/101/Aamuyö/19 Tytöt Tahtoo Pitää Hauskaa.mp3"
25,"Robootti","Allekirjoittanut","Generation Ã",193,143,"Reggae","","","",1995,"/Volumes/Sammy/iTunes/iTunes Music/Music/Allekirjoittanut/Generation Å/03 Robootti.mp3"
